GRID,ZONENAME,MASS,H1,HE4,H2,C12,C13,N14,N15,O16,O17,O18,F19,NE20,NE21,NE22,NA20,NA22,MG24,MG25,MG26,AL26,AL27,SI28,SI29,SI30,S32,S33,S34,S36,CL36,CL37,AR36,AR38,AR40,K39,K40,K41,CA40,CA41,CA42,CA43,CA44,CA46,CA48,TI44,TI46,TI47,TI48,TI49,Ti49+V49,TI50,,,,,Ti50_48 rel,54Cr/52Cr rel,Fe60_56,totalTi,totalTi/Cr,,totalFe/Cr,,V49,V50,V51,CR48,CR50,CR52,CR53,CR54,total_cr,cr_atweight,,MN53,MN54,MN55,FE54,FE56,tot56,,FE57,FE58,FE60,totalFe,CO56,CO57,CO58,CO59,CO60,CO61,CO62,NI56,NI57,NI58,NI59,NI60,NI61,61/58 rel,NI62,62/58 rel,NI63,NI64,64/58 rel,NI65,NI66
   0:    ,Ni,0.191395553,1.02E-06,0.098356342,2.00E-15,4.01E-07,5.53E-09,1.31E-07,3.40E-07,6.15E-06,3.95E-10,5.84E-11,2.21E-07,6.54E-06,1.17E-08,1.25E-10,0,1.06E-07,8.50E-06,8.91E-06,2.38E-07,7.82E-06,1.55E-05,0.017994413,3.55E-05,5.29E-06,0.030937804,8.75E-05,4.55E-06,1.05E-10,4.23E-07,1.07E-09,0.008036444,4.26E-07,2.06E-11,6.74E-05,3.20E-09,4.19E-11,0.010563836,1.82E-06,8.36E-07,4.89E-08,4.65E-10,3.21E-13,0,0.00022532,3.42E-07,8.31E-07,4.57E-09,1.19E-10,1.20E-06,5.03E-11,6.99E+02,1.85E+03,3.50E+03,1.50E-01,0.150001111,0.644876441,6.07E-11,0.000227696,4.148003808,23.91028353,147.0374886,2.100826667,1.20E-06,1.93E-08,3.80E-10,0.000933952,5.47E-05,1.53E-07,1.20E-08,2.88E-09,5.49E-05,50.00643153,4.33E-06,0.000123836,4.33E-06,4.22E-08,0.008063556,7.69E-06,0.735743027,,6.77E-08,2.24E-09,5.00E-16,0.008071314,0.001429626,0.000142485,1.44E-05,2.81E-08,5.08E-10,4.16E-12,1.58E-12,0.734305712,0.0257533,0.026316755,0.001057729,0.000630987,6.22E-06,1.34E-02,3.89E-06,2.59E-03,8.10E-12,2.42E-12,6.13E-09,1.00E-16,0
   1:    ,Si/S,0.191930524,2.53E-08,6.35E-06,3.70E-15,2.88E-05,4.72E-08,8.16E-08,2.18E-06,0.074847098,6.22E-08,9.64E-12,3.62E-09,4.79E-05,4.65E-09,3.47E-09,0,7.84E-10,0.000283387,4.31E-06,8.20E-06,3.38E-07,0.000277005,0.424004782,0.000443814,0.000124015,0.347455183,0.000630268,0.003903834,3.26E-08,4.47E-06,3.36E-06,0.044973467,0.00384343,1.32E-09,0.000444626,3.58E-07,3.70E-08,0.02752356,2.32E-05,9.27E-05,2.24E-07,1.52E-08,1.91E-11,3.70E-15,1.06E-05,6.66E-05,1.20E-06,3.25E-07,5.73E-09,3.61E-06,1.89E-09,1.92E+03,3.74E+01,1.48E+02,7.95E-02,0.079450556,0.005502319,1.74E-11,8.23E-05,0.101570691,0.58548259,38.59751708,0.551469519,3.60E-06,2.44E-07,1.49E-07,0.000204757,0.000683252,0.00012661,2.39E-07,2.04E-08,0.00081012,50.31355443,1.64E-05,0.000210288,1.64E-05,4.97E-07,0.030785845,0.000482117,0.030140986,,6.67E-07,6.30E-09,9.00E-15,0.031268636,0.000196917,4.56E-05,1.15E-06,4.50E-08,4.09E-09,9.24E-12,4.20E-14,0.029461952,0.000687274,0.001571022,6.67E-06,9.85E-06,3.33E-08,1.20E-03,6.70E-10,7.47E-06,1.67E-12,1.90E-15,8.06E-11,0,0
   2:    ,O/Si,0.439840784,4.20E-09,3.14E-06,6.00E-15,0.001602746,1.42E-07,4.00E-07,1.59E-05,0.592526541,1.57E-07,1.06E-09,2.55E-07,0.003789061,5.28E-07,2.09E-07,0,1.79E-08,0.019541224,0.000150296,0.0001281,9.05E-06,0.00285829,0.240284845,0.002753207,0.004343116,0.097821352,0.000732447,0.010396838,7.59E-07,4.08E-06,5.97E-06,0.008335254,0.007205737,4.80E-08,0.000408401,7.32E-07,6.62E-08,0.002415492,1.26E-05,0.000145832,5.75E-07,3.71E-07,2.45E-08,2.06E-11,5.63E-07,2.75E-05,1.63E-06,8.90E-07,1.80E-07,9.34E-07,9.25E-07,2.88E+02,1.86E+01,1.40E+01,1.42E+01,14.18240596,1.876754096,0.010479013,3.24E-05,0.970285212,5.593002224,15.33240852,0.219064764,7.54E-07,2.46E-07,5.62E-07,3.03E-08,1.77E-05,1.48E-05,1.63E-07,8.11E-07,3.34E-05,50.9960924,1.23E-06,3.56E-06,4.14E-07,9.08E-07,0.000109652,0.000294587,0.000295041,,7.86E-06,9.69E-05,3.31E-06,0.000512271,4.51E-07,7.70E-06,2.50E-06,7.65E-05,6.18E-06,1.53E-05,2.38E-08,2.72E-09,3.67E-08,2.67E-05,1.18E-05,0.00054865,2.37E-05,5.06E+01,0.000162854,1.07E+02,2.18E-06,4.64E-05,1.16E+02,5.73E-08,4.28E-07
   3:    ,O/Ne,1.475465902,3.31E-10,2.23E-06,2.28E-14,0.018503242,1.94E-07,1.21E-06,3.36E-05,0.70689133,2.34E-07,1.07E-07,1.88E-05,0.199072618,0.000350255,0.000521446,0,1.91E-06,0.040053953,0.008796575,0.00692671,1.83E-05,0.004425144,0.005294504,0.001259158,0.000798155,0.000354097,6.47E-06,5.46E-05,3.79E-06,3.02E-07,3.86E-05,1.98E-05,5.42E-05,2.69E-06,1.06E-05,9.38E-07,1.69E-06,2.13E-05,4.66E-07,2.86E-06,1.39E-06,4.08E-06,4.70E-07,1.18E-07,1.13E-10,4.45E-07,5.06E-07,6.40E-07,1.20E-06,1.24E-06,3.27E-06,6.49E+00,8.02E+00,2.58E+01,6.96E+01,69.58531378,63.96306285,0.219868877,6.09E-06,0.452082869,2.605935309,52.84528358,0.755037249,3.80E-08,4.06E-08,4.13E-07,3.40E-12,5.84E-09,4.34E-06,1.01E-06,8.12E-06,1.35E-05,53.27935431,8.16E-06,1.39E-08,3.60E-08,3.98E-06,1.02E-06,0.000192403,0.000192562,,0.000100881,0.000372716,4.53E-05,0.000712348,1.59E-07,3.71E-07,3.58E-07,6.74E-05,2.25E-05,8.39E-06,9.90E-08,4.18E-11,1.26E-10,1.69E-07,2.52E-07,5.64E-05,7.77E-05,2.61E+04,0.00010929,1.13E+04,0.000123734,0.000144992,5.71E+04,1.87E-06,1.12E-06
   4:    ,O/C,0.849692423,1.55E-10,0.045172314,3.40E-14,0.234180915,1.14E-06,1.64E-06,8.17E-06,0.671242591,2.78E-08,4.31E-08,8.36E-07,0.028442353,0.000183655,0.006650093,0,6.49E-08,0.001656737,0.00439466,0.00467723,1.23E-06,8.48E-05,0.000514206,0.000168861,0.000221115,0.000219789,3.97E-06,3.61E-05,4.03E-06,9.75E-08,4.76E-05,2.47E-05,4.82E-05,4.22E-06,3.33E-06,4.67E-07,1.33E-06,2.64E-05,5.26E-07,3.06E-06,1.02E-06,4.07E-06,7.29E-07,1.51E-07,6.00E-12,5.14E-07,2.64E-07,5.58E-07,9.09E-07,9.09E-07,2.84E-06,8.62E+00,4.81E+00,2.18E+01,6.94E+01,69.43575334,48.51531836,0.318040228,5.08E-06,0.34422865,1.984232657,60.67096013,0.866848122,1.53E-10,2.99E-10,2.56E-07,2.60E-15,6.80E-09,5.68E-06,1.02E-06,8.07E-06,1.48E-05,53.16013703,8.07E-06,9.00E-10,1.76E-09,3.78E-06,2.90E-06,0.000288566,0.000288609,,9.81E-05,0.000408141,9.83E-05,0.000896007,4.36E-08,2.98E-08,5.30E-08,7.76E-05,1.49E-05,4.47E-06,3.17E-07,4.40E-12,3.45E-11,7.59E-07,4.76E-07,6.43E-05,4.12E-05,3.08E+03,8.17E-05,1.89E+03,6.39E-05,0.000122703,1.08E+04,5.03E-06,1.04E-06
   5:    ,He/C,0.96465081,5.23E-12,0.953249756,1.40E-15,0.027133734,2.62E-08,0.000177022,2.00E-05,0.001008819,9.69E-08,0.002444829,4.88E-06,0.001126185,9.51E-05,0.010791989,0,5.25E-09,0.000553774,2.43E-05,0.000155497,1.94E-06,7.20E-05,0.000741468,5.23E-05,3.61E-05,0.000384937,5.86E-06,2.07E-05,2.09E-07,1.29E-07,4.28E-06,8.62E-05,1.90E-05,6.71E-08,3.74E-06,1.89E-07,3.82E-07,6.82E-05,9.28E-07,6.38E-07,1.33E-07,1.64E-06,1.48E-08,1.65E-07,1.90E-13,2.40E-07,2.01E-07,2.16E-06,5.35E-07,5.35E-07,2.77E-07,1.04E+00,9.45E-01,3.30E+00,1.75E+00,1.747962359,2.766283582,0.000730628,3.42E-06,0.175350607,1.010771184,70.00765459,1.000247957,2.63E-11,8.15E-10,4.38E-07,3.00E-16,6.30E-07,1.56E-05,1.99E-06,1.26E-06,1.95E-05,52.16721687,1.26E-06,2.30E-09,1.70E-09,1.51E-05,6.57E-05,0.001175464,0.001175496,,8.83E-05,3.36E-05,9.20E-07,0.001363952,3.22E-08,4.30E-09,1.31E-09,4.19E-06,4.36E-07,2.91E-07,1.65E-08,5.41E-13,5.24E-10,4.41E-05,5.85E-06,2.17E-05,3.45E-06,4.44E+00,4.26E-06,1.69E+00,8.49E-07,1.18E-06,1.78E+00,5.09E-08,1.18E-08
   6:    ,He/N,0.339471474,0.088113266,0.897340548,4.74E-09,0.000179959,5.56E-05,0.008943553,3.27E-07,0.000315946,5.64E-07,1.06E-07,2.42E-09,0.001135147,3.23E-06,4.45E-06,0,2.21E-09,0.000565704,5.00E-06,0.000129009,2.43E-05,7.11E-05,0.000754984,3.97E-05,2.71E-05,0.000395959,3.24E-06,1.86E-05,8.00E-08,8.19E-10,1.37E-06,9.13E-05,1.75E-05,2.81E-08,3.93E-06,7.27E-09,2.98E-07,7.13E-05,8.54E-09,5.00E-07,1.07E-07,1.69E-06,3.36E-09,1.66E-07,3.08E-14,2.69E-07,2.47E-07,2.51E-06,1.89E-07,1.89E-07,1.84E-07,1.00E+00,9.99E-01,1.01E+00,1.00E+00,1.000739477,1.004875064,1.63E-10,3.40E-06,0.173486339,1.000025012,69.98822509,0.999970354,4.21E-12,1.05E-09,4.29E-07,0,8.16E-07,1.64E-05,1.89E-06,4.82E-07,1.96E-05,52.06237757,4.83E-07,4.73E-10,3.75E-10,1.47E-05,7.73E-05,0.001259756,0.001259774,,2.98E-05,4.03E-06,2.20E-13,0.001370828,1.81E-08,5.59E-10,2.86E-10,4.01E-06,2.98E-09,9.32E-12,1.98E-12,4.36E-14,2.87E-10,5.52E-05,3.79E-08,2.20E-05,9.80E-07,1.01E+00,3.15E-06,1.00E+00,1.71E-09,8.27E-07,9.99E-01,1.13E-10,3.23E-14
   7:    ,Henv,9.650151061,0.604020055,0.381045643,8.42E-10,0.001213306,8.35E-05,0.003894289,1.03E-06,0.004662628,3.96E-06,7.86E-06,2.83E-07,0.001165574,6.55E-06,5.99E-05,0,3.44E-14,0.00056501,5.64E-05,0.000103615,5.34E-07,6.66E-05,0.000754998,3.97E-05,2.71E-05,0.000395998,3.22E-06,1.86E-05,8.00E-08,1.27E-14,1.37E-06,9.13E-05,1.75E-05,2.81E-08,3.93E-06,6.25E-09,2.98E-07,7.13E-05,5.00E-15,5.00E-07,1.07E-07,1.69E-06,3.36E-09,1.66E-07,0,2.69E-07,2.47E-07,2.51E-06,1.88E-07,1.88E-07,1.84E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.999992936,1.000010014,0,3.40E-06,0.173482412,1.000002373,69.99029935,0.999999991,7.00E-16,1.05E-09,4.29E-07,0,8.17E-07,1.64E-05,1.89E-06,4.80E-07,1.96E-05,52.06208199,4.80E-07,7.74E-14,6.25E-14,1.47E-05,7.73E-05,0.001259994,0.001259994,,2.96E-05,4.00E-06,0,0.001370893,3.08E-12,9.01E-14,4.78E-14,4.01E-06,1.42E-14,1.00E-15,3.00E-16,0,4.87E-14,5.52E-05,7.86E-14,2.20E-05,9.72E-07,1.00E+00,3.15E-06,9.99E-01,3.60E-15,8.27E-07,9.99E-01,1.00E-16,0
wind:    ,Wind,4.070287977,0.690348606,0.294644304,2.51E-08,0.002094353,7.61E-05,0.001521597,2.09E-06,0.006203496,3.02E-06,1.32E-05,4.33E-07,0.001169158,3.71E-06,8.75E-05,0,0,0.000564999,7.09E-05,8.91E-05,4.13E-08,6.64E-05,0.000754996,3.97E-05,2.71E-05,0.000395998,3.22E-06,1.86E-05,8.00E-08,0,1.37E-06,9.13E-05,1.75E-05,2.81E-08,3.93E-06,6.25E-09,2.98E-07,7.13E-05,0,5.00E-07,1.07E-07,1.69E-06,3.36E-09,1.66E-07,0,2.69E-07,2.47E-07,2.51E-06,1.88E-07,1.88E-07,1.84E-07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.999992927,1.000010002,0,3.40E-06,0.173482412,1.000002374,69.99029969,0.999999996,0,1.05E-09,4.29E-07,0,8.17E-07,1.64E-05,1.89E-06,4.80E-07,1.96E-05,52.06208199,4.80E-07,0,0,1.47E-05,7.73E-05,0.001259994,0.001259994,,2.96E-05,4.00E-06,0,0.001370893,0,0,0,4.01E-06,0,0,0,0,0,5.52E-05,0,2.20E-05,9.72E-07,1.00E+00,3.15E-06,9.99E-01,0,8.27E-07,9.99E-01,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O/Ne,2.51E-06,,,1.84E-07,0.999996905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32E-06,,,4.92E-07,2.890347117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14E-06,,,8.00E-07,5.111629309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E-06,,,1.11E-06,7.759081159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76E-06,,,1.42E-06,10.96836207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58E-06,,,1.73E-06,14.93954405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39E-06,,,2.03E-06,19.98049064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20E-06,,,2.34E-06,26.59074923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01E-06,,,2.65E-06,35.63823758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27E-07,,,2.96E-06,48.77553769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.40E-07,,,3.27E-06,69.58559064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O/C,2.51E-06,,,1.84E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31E-06,,,4.49E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12E-06,,,7.15E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92E-06,,,9.80E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73E-06,,,1.25E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53E-06,,,1.51E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34E-06,,,1.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14E-06,,,2.04E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.48E-07,,,2.31E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53E-07,,,2.57E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58E-07,,,2.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
